﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3qJQfEI8Ef5ZtVZvwhcsgQ","Hoşçakal","Şebnem Ferah","Can Kırıkları","1","10","285512","spotify:user:mrkaan888","2018-02-02T10:39:54Z"
"spotify:track:3I0XubzyOROiSfaim3RVyf","Zaferlerim","Demir Demirkan","2004 Istanbul","1","11","242105","spotify:user:mrkaan888","2018-02-02T10:57:58Z"
"spotify:track:6R2yXcycS8TRbu1hbsr4fC","Ver Bana Düşlerimi","Yaşar Kurt","Güneş Kokusu","1","8","277014","spotify:user:mrkaan888","2018-02-02T16:34:25Z"
"spotify:track:5dDEnmFr29XhNPpSEnuzl2","Kara Toprak","Tarkan","Kara Toprak","1","1","243591","spotify:user:mrkaan888","2018-02-03T09:55:29Z"
"spotify:track:1L5FITTucEaG9W7Pg4m7QV","Sen De Başını Alıp Gitme","Cem Karaca","Nerde Kalmıştık","1","5","275330","spotify:user:mrkaan888","2018-02-04T10:28:17Z"
"spotify:track:5o1eZtivmfGZuFaIBJiXPe","En Güzel Şarkım","maNga","Işıkları Söndürseler Bile","1","8","238517","spotify:user:mrkaan888","2018-02-05T20:04:36Z"
"spotify:track:7JG7tn9tgEy2NwuPVAIkzE","Firtinam","Hayko Cepkin","Sakin Olmam Lazim","1","9","301720","spotify:user:mrkaan888","2018-02-05T20:09:00Z"
"spotify:track:0vVXp9gcHFZ96nTXpsPhac","Hepsi Bir Nefes","maNga","Şehr-i Hüzün","1","12","283293","spotify:user:mrkaan888","2018-02-05T20:16:26Z"
"spotify:track:110lLYj8VghNryOewSj15h","Dursun Zaman","maNga, Göksel","maNga +","1","12","295866","spotify:user:mrkaan888","2018-02-06T00:44:19Z"
"spotify:track:2JYfmn0g32as7PCNbGddbb","Vazgeçtim Ben Bugün","Gripin","Yalnızlığın Çaresini Bulmuşlar","1","5","244897","spotify:user:mrkaan888","2018-02-06T00:44:36Z"
"spotify:track:2R0SPJhNRrkg7lF7RgTziE","Uçalım Mı?","Seksendört, Cazın Kartalları","Yıldızlara Yolculuk","1","13","207249","spotify:user:mrkaan888","2018-02-07T09:22:31Z"
"spotify:track:4wqD27qMzlLLYecqHwsxFB","Senin Adın Zambak","Cihan Mürtezaoğlu","Bitsin Bu Delilik","1","8","328506","spotify:user:mrkaan888","2018-02-09T10:08:41Z"
"spotify:track:0XuqoosHzwJi1I6McN61JY","Yalan","Athena","İt","1","5","286348","spotify:user:mrkaan888","2018-02-10T22:32:10Z"
"spotify:track:5Kd2B5zUf339fS8mSroYrI","Her Şeyim","Pera","Her Şeyim","1","1","248767","spotify:user:mrkaan888","2018-02-10T22:46:58Z"
"spotify:track:1cXRnIZuCVSZsdjUlptFiT","Kal Bugün","Can Bonomo","Kâinat Sustu","1","2","234208","spotify:user:mrkaan888","2018-02-10T23:00:02Z"
"spotify:track:4cQSOn9oP0MiM7BgiRngFk","Rüyalarda Buruşmuşum","Adamlar","Rüyalarda Buruşmuşuz","1","7","211533","spotify:user:mrkaan888","2018-02-11T09:36:45Z"
"spotify:track:2pD1BR7vPz8GiygzRKmg5n","HOŞÇAKAL KADAR","Büyük Ev Ablukada","FIRTINAYT","1","5","386679","spotify:user:mrkaan888","2018-02-11T09:56:48Z"
"spotify:track:2ru80rmJ5T0U25Kp76mJMU","Elveda","Fikret Dedeoğlu","Hoş Geldin Ayrılık","1","1","239223","spotify:user:mrkaan888","2018-02-11T10:07:23Z"
